question,context,label
約12%至24%的哪種人擁有自殺的傾向?,與一般人群相比，嗜賭與日益增漲的自殺意念和企圖緊密相聯。約有12%至24%的病態賭徒有自殺的傾向。而他們的配偶的自殺率則比一般人群要高出三倍。其他導致嗜賭者自殺風險加大的因素還包括心理疾病、酗酒和藥物濫用。自殺與生理健康問題之間還存在著聯繫，包括：慢性疼痛、創傷性腦損傷、癌症、愛滋病毒、系統性紅斑狼瘡等等。癌症確診可能會導致接下來病患的自殺風險翻番。且在治療抑鬱症和酗酒的過程中，自殺風險也會普遍增加。而擁有多種醫療狀況的人群則更是自殺高危人群。在日本，健康問題被列為是自殺的主要理由。睡眠障礙，例如：失眠和睡眠呼吸暫停，也是導致抑鬱症和自殺的風險因素。在某些情況下，睡眠障礙還有可能是獨立於抑鬱症之外的一種風險因素。一些其他的醫療狀況也可能帶來與情緒障礙類似的症狀，包括： 甲狀腺功能減退、阿茲海默病、腦腫瘤、系統性紅斑狼瘡和一些藥物帶來的副作用。,1
很多人認為在什麼時間之後韓國就不再是漢江奇蹟？,東芝是世界上晶片製造商中的重要成員。在1980年代東芝與日本電氣是世界上最大的兩家半導體製造商。自1990年代至今東芝一直是世界排名前5的晶片廠。2005年東芝排名第4，僅次於英特爾、三星電子、德州儀器，但排在意法半導體之前。2010年3月17日，東芝宣布旗下照明技術公司停止生產有120年歷史的傳統白熱電燈泡，當天下午，位於板木縣鹿沼市的工場舉行停產儀式。以配合日本政府取代白熾燈的政策。2011年8月31日索尼、東芝及日立將旗下表現不振的LCD業務分拆出來，與政府支援的基金合組聯營公司Japan Display打造夢幻組合後，Japan Display將超越夏普，成為全球最大、專攻手機及平板電腦市場的中小型尺寸LCD螢幕生產商。日本官民合資的投資基金公司產業革新機構，投資2000億日圓到Japan Display，是基金自09年成立至今最大宗投資，並持有公司七成股權，其餘的三成則由3間公司平均攤分。,0
哈德遜灣公司的總公司設在哪邊？,多倫多是加拿大的金融中心。多倫多證券交易所是加拿大最大的證券交易所，而加拿大五大銀行的總部皆位於多倫多。此外，多倫多也是多家傳媒、通訊、零售和酒店公司的總部所在，當中包括羅渣士通訊集團、宏利金融、哈德遜灣公司和四季酒店。多倫多是世界上最多元文化的城市之一。2004年，聯合國發展計畫在其最高比率外地出生人口的城市名單中將多倫多排在第二位，僅次於美國的邁阿密。其排名都比其他多元文化城市或國家要高。其中主要外來人口來源地包括中國大陸、香港、台灣、印度、日本、韓國等。多倫多充滿著多元文化的特色。2001年，加拿大人口普查顯示42.8%的多倫多人口是有色人種。大多數的多倫多人聲稱他們的種族起源來自英國或愛爾蘭。,1
用戶網適度維基的釋出經理擔任了什麼組織的技術長？,根據《梅里亞姆-韋伯斯特字典》定義，獨裁政體是一種政府形式，由一個單一個人，或一個小群體，集中掌握了絶對的權力。獨裁、寡頭統治與僭主這幾個源自古希臘語的名詞在某種程度上也被當成同義詞來使用。獨裁政體和獨裁在一般概念使用上差異不大，其主要區分在於前者主要靠暴力或武力，而後者主要靠輸誠的臣民。獨裁這個用語在中國古代已經存在，但主要當成動詞或形容詞，不是專門名詞。獨裁被當成一種使用於政體的專門術語，源自於日本。在日本明治時期，1866年，福澤諭吉譯《西洋事情》，將英語：despot意譯為立君獨裁。隨後，英語：dictatorship也被意譯為獨裁。梁啟超在《清議報》發表的文章，首次將獨裁主義或獨裁政體這個譯名由日本引入中國。但是英語：Autocracy或譯為獨裁、専制政治、英語：Despotism或譯為專制獨裁、專制主義等術語在日本都被同樣漢譯為獨裁，此外，它也被譯為專政或專制，梁啟超等人在行文中，也沒有做出嚴格的區別。在民國時期，也有直接音譯成狄克推多的用法。政治學者胡安·林茲認為，在威權主義下，通常由少數人掌握權力，權力的行使範圍很少受到良好限制，但是它的行使方式則較容易預測。在威權式獨裁下，會企圖壓制與消滅各種政治與政治動員。極權主義則通常由一個獨裁者來領導一個獨裁政黨，掌握所有政治權力，政府完全控制所有政治、社會與經濟組織，也控制大眾傳播媒體。在極權式獨裁的統治下，充滿秘密政治，意識型態高度發展，政府會透過控制意識型態，來激發與掌握各種政治行動與政治動員。,0
西班牙憑什麼將關島給美國？,白色是一種包含光譜中所有顏色光的顏色，通常被認為是無色的，其明度最高，色相為零。可以將光譜中三原色的光：紅色、藍色和綠色按一定比例混合得到白光。光譜中所有可見光的混合也是白光。在繪畫中，可以用白色顏料描繪白色，白色顏料和黑色顏料混合可以得到灰色，和其他顏料混合可以讓其他顏色的色相減弱，明度提高。在中國畫和水彩畫創作中，經常利用紙的白色，在畫面上留出空白。以前許多科學家認為，白光是最基本的光，其他顏色的光是在白光上添加了某些元素。但英國科學家艾薩克·牛頓的研究，揭露了白光是由光譜中各種顏色的光組成的。現在光學中，稱黑體在加熱到不同溫度釋放出的輻射光都叫做白光，最低發光溫度為2848K，相當於白熾燈泡的溫度；劇場中白光等溫度達到3200K；白天天光的溫度相當於5400K，但是由多種顏色的光組成的，從最低溫度的紅光到將近25000K的紫光都包括在內。但並不是所有黑體輻射都是白光，宇宙背景輻射也是黑體輻射，只有3K。國際照明協會所規定的標準白光是6500K時的黑體輻射，相當於白天的天光。,0
2010年美國哪一地區的網路的速度只有一秒七百萬位元？,美國《財富》2011年報導說，2010年韓國網速每秒流量為14百萬位元／秒，是全球平均網速的約7倍，而美國50個州中網速最快的德拉瓦州也只有韓國的一半水平，證明韓國在網路硬體環境方面的領先地位。韓國是經濟合作與發展組織成員中首個無線寬帶普及率達到100%的國家。2013年6月，在距離第四代行動通訊技術網路商用還不足兩年時間，新一代進階長期演進技術網路開始在韓國商用，使韓國行動網路進入第四點五代行動通訊技術時代。2013年5月12日，三星電子宣布已率先開發出基於第五代行動通訊技術的核心技術的移動傳輸網路，使韓國第五代行動通訊技術上也占得先機。2013年，韓國政府宣布實施「十億韓國」戰略。該戰略計劃到2020年使韓國無線寬帶傳輸速度達到每秒1十億位元組以上。,1
有「太白天聲」的稱號的地方由什麼東西組成？,"外太空，或稱太空，於中國大陸稱外層空間，指的是地球大氣層及其他天體之外的虛空區域。與真空有所不同的是，外太空含有密度很低的物質，以電漿態的氫為主。其中還有電磁輻射、磁場等。理論上，外層空間可能還包含暗物質和暗能量。外太空與地球大氣層並沒有明確的界線，因為大氣隨著海拔增加而逐漸變薄。假設大氣層溫度固定，大氣壓會由海平面的大約1013毫巴，隨著高度增加而呈指數化減少至零為止。國際航空聯合會定義在100公里的高度為卡門線，為現行大氣層和太空的界線定義。美國認定到達海拔80公里的人為太空人，在太空載具重返地球的過程中，120公里是空氣阻力開始發生作用的界線。太空的空氣稀薄，幾乎真空，而且能清晰看見地面上所看不見的星星，因此，美國航太總署放置了哈勃望遠鏡用以觀察宇宙。若要執行一個軌道，太空載具必須飛得比在次軌道飛行器更快。太空航具必須要有足夠的水平速度才能進入軌道，也就是重力加諸於太空航具的加速度必須小於或等於由水平運動產生的向心加速度。因此進入軌道的太空航具不只是進入太空，還必須要有足夠的軌道速度。對低地球軌道，這大約是28,440公里/小時；相對之下，最快的飛機是美國空軍的X-15在1967年創造的，它的速度只有7,920公里/小時。",0
一般而言，男性比女性想要自殺比率高於多少倍率?,常用的自殺方式會隨著地區而不同，也會和自殺工具是否容易取得有些關係。常用的方式包括上吊、殺蟲劑中毒及槍械。自殺造成2013年842000人死亡，較1990的712000人增加，使之成為全球第十大死因。通常男性自殺完成的比率高於女性，而男性想要自殺的比率也是女性的五倍。估計每年有一千萬至二千萬人試圖自殺，試圖自殺可能會造成受傷甚至長期的失能。在西方國家中，年輕人較容易有試圖自殺的情形，女性發生比率是男性的五倍。一直以來，人們對於自殺的看法受到宗教、榮譽感和人生意義這類普遍存在的議題所影響。亞伯拉罕諸教認為生命神聖，所以自殺有違上帝旨意。在日本武士時代，切腹自殺象徵對失敗負責或表達抗議。印度習俗薩提，即丈夫過世後，寡婦因為自願或迫於家庭和社會壓力，在丈夫的火葬儀式中跟著自焚殉葬，後來在英國統治期間遭到禁止。現在大部分西方國家已不再將自殺和自殺未遂視為非法，但自殺在許多國家仍屬於犯罪行為在20和21世紀，自殺已成為特殊情況下的抗議形式， 敢死隊和 自殺炸彈則用來作為軍事戰略或恐怖攻擊。自殺一詞源於拉丁語suicidium，意為將自己殺死。2011年發表在英國精神醫學期刊上，追蹤台灣1080位社區自殺嘗試者5年的研究，去探討這些被認為自殺最高危險群的人最後真的死於自殺原因的人有多少。在嘗試自殺後5年內，死於自殺的比例有3.8%。,1
羌於公元前109年被誰封為滇王?,史書上對昆明地區最早的記載是公元前279年， 楚國大將庄蹻遠征到達滇池地區，由於秦國打敗了楚國，無法回國，而被迫留在滇池以南地區，變服從其俗，建立了滇國。前109年，漢武帝加封常羌為滇王，賜給金印，稱益州郡，下轄24縣，轄區相當今雲南大部，郡治滇池縣。225年，諸葛亮南征也到達滇池地區，改為建寧郡，為爨氏所據。司馬遷在史記•西南夷列傳中寫道：西自同師以東，北至葉榆，名為嶲、昆明、皆編發，隨畜遷徙，毋常處，毋君長，地方可數千里。765年，南詔王閣羅鳳決定向東拓展疆土，派其子鳳伽異在今昆明市中心築造拓東城，後改稱鄯闡城，別稱東都。是為昆明築城之始。1254年，蒙古大汗忽必烈派兵攻取鄯闡城。1276年，蒙元設立雲南行中書省，為全國13行省之一，首府也由大理移至中慶，自此昆明成為雲南的政治中心。,1
成為賣淫高級妓女是哪一行業常有的事情？,1934年史都華接到了米高梅以及20世紀福克斯的試鏡，還曾在華納兄弟的電影中露過面，不過華納和福克斯都沒有進一步接觸史都華。在亨利方達的鼓動下，吉米·史都華於1935年同米高梅公司簽訂了一份合約。這份合約的時間為7年，合約規定每周史都華可以獲350美元的薪酬。史都華和方達從百老匯到好萊塢一直都是室友。熱衷於參加派對與跟小女星約會的亨利·方達，詫異的發現他的室友儘管頂著普林斯頓高材生的光環而頗受異性矚目。不過吉米·史都華仍然很高興有進好萊塢的機會，以每週6到7天在製片場勤奮工作著。起先，身高1米93，體重不到63千克的吉米·史都華大男孩般害羞、謙遜的個性、以及瘦高的身形，似乎一度成為職業上的阻礙。這段時間，據他所言，總是在當「大型電影的小角色及小型電影的大角色」。似乎米高梅沒有為他找到合適的定位，1936年他參與了9部影片的演出，角色範圍從害羞的水手直到精神病殺手。不過那部扮演殺手的影片，是史都華在大型影片得到的第一個戲份重的角色，片名為《迷霧重重》，是演員名單排名第三的配角。其實詹姆斯·史都華後來整個演員生涯，尤其在成名以後，就沒再演過反派。,0
